file,status,quality_score,holdings,subtotals,fv_coverage,name_coverage,section_coverage,issues
1aa931a1-a3c0-4ea5-b1f8-6c9e49d97059,EMPTY,0,0,0,,,,No soi_rows extracted
1b50e424-055f-4ecc-813f-b918599e6f9a,EMPTY,0,0,0,,,,No soi_rows extracted
1b908cdf-a51a-473d-91dc-125c3104119b,EMPTY,0,0,0,,,,No soi_rows extracted
1c20e66b-7168-4942-9f9d-01b8f2a56d0d,EMPTY,0,0,0,,,,No soi_rows extracted
1cd06852-4789-414c-aaad-d54addb30ecc,EMPTY,0,0,0,,,,No soi_rows extracted
1d07a20b-627c-48b9-bc42-9d00132934f3,EMPTY,0,0,0,,,,No soi_rows extracted
1df0c30a-1d5c-4512-897e-218881fb2020,EMPTY,0,0,0,,,,No soi_rows extracted
1e742634-8c3a-4530-8f3b-dc18f2dbe8d5,EMPTY,0,0,0,,,,No soi_rows extracted
1ea4da67-8732-4c3b-b025-39afbf9368f4,EMPTY,0,0,0,,,,No soi_rows extracted
1f50d1a1-0031-4a38-9beb-b16683aae756,EMPTY,0,0,0,,,,No soi_rows extracted
2023dc13-ed5f-4e8a-aed2-eb6225d00aa6,EMPTY,0,0,0,,,,No soi_rows extracted
2051a35f-6b95-42af-9f60-6a49365ef312,EMPTY,0,0,0,,,,No soi_rows extracted
2161bb39-b3fb-4c34-a4ce-59a55802ad11,EMPTY,0,0,0,,,,No soi_rows extracted
21e08804-b3af-437d-8f66-5c4ab71ba389,EMPTY,0,0,0,,,,No soi_rows extracted
21fc10bb-47b7-4ea4-95ba-a6ee9a7b5b30,EMPTY,0,0,0,,,,No soi_rows extracted
2279e7ff-e999-44f5-91b4-f53a201d67f5,EMPTY,0,0,0,,,,No soi_rows extracted
23318bac-b069-4e45-aa3c-582f13468894,EMPTY,0,0,0,,,,No soi_rows extracted
242c7cc5-1e9a-4b65-bb0a-0a2d96bd5a8f,EMPTY,0,0,0,,,,No soi_rows extracted
24e2f6b9-f744-4b62-a9b0-43ba0a69eac6,EMPTY,0,0,0,,,,No soi_rows extracted
2684db33-dc14-409b-a6b1-525fbb3d8155,EMPTY,0,0,0,,,,No soi_rows extracted
26e766ff-5fb2-4b97-921a-a4cf66e00fa9,EMPTY,0,0,0,,,,No soi_rows extracted
2703da8f-a0a6-4e4f-ab54-d8876fa57875,EMPTY,0,0,0,,,,No soi_rows extracted
280dc3b2-c3b4-4a18-a2df-7ec2f3f01f85,EMPTY,0,0,0,,,,No soi_rows extracted
283cbea9-41ec-4765-bb12-93863ee22963,EMPTY,0,0,0,,,,No soi_rows extracted
28881fdd-9853-4c72-aa9d-287b4348dabd,EMPTY,0,0,0,,,,No soi_rows extracted
28aa3061-6cfe-42d1-b787-6f21975287e6,EMPTY,0,0,0,,,,No soi_rows extracted
28aacfc9-887b-4690-a07f-7c5394b86338,EMPTY,0,0,0,,,,No soi_rows extracted
28e98250-c604-4411-9bfd-f56c4d865046,EMPTY,0,0,0,,,,No soi_rows extracted
295b8908-404c-4fef-9ff1-a6c8b5f5266d,EMPTY,0,0,0,,,,No soi_rows extracted
29cedcbc-2a91-4dd1-878e-ed2c7501e4bc,EMPTY,0,0,0,,,,No soi_rows extracted
2a4fdde4-192f-404b-810c-38c22d01bacc,EMPTY,0,0,0,,,,No soi_rows extracted
2a91ff79-d043-4e42-806c-7c7afbae29ab,EMPTY,0,0,0,,,,No soi_rows extracted
2ab6d302-f8cd-4e95-b1a2-12b0af72d744,EMPTY,0,0,0,,,,No soi_rows extracted
2c09a7c0-4383-4f98-84c5-a4375efef331,EMPTY,0,0,0,,,,No soi_rows extracted
2fe43140-b306-41a6-aa73-8689cccc7052,EMPTY,0,0,0,,,,No soi_rows extracted
2ff1a2b2-604b-448a-9fdb-89af8ee34f4c,EMPTY,0,0,0,,,,No soi_rows extracted
3018ee6c-9fab-4884-aff3-a9b3bf08783c,EMPTY,0,0,0,,,,No soi_rows extracted
305ade59-251b-4d41-bb94-a810c587e61e,EMPTY,0,0,0,,,,No soi_rows extracted
30fb57ad-802a-4ae6-97b1-e39a82a3dd5c,EMPTY,0,0,0,,,,No soi_rows extracted
3115cbd1-45de-4888-89c2-1460fa9acd80,EMPTY,0,0,0,,,,No soi_rows extracted
31b3780d-49ca-44f9-a2c9-a889f8edb652,EMPTY,0,0,0,,,,No soi_rows extracted
321924f2-41ef-47fa-987a-32765e38b219,EMPTY,0,0,0,,,,No soi_rows extracted
32560907-2c78-41ac-8c24-88530cb83caf,EMPTY,0,0,0,,,,No soi_rows extracted
334c8019-1c18-44be-a49d-6f2e424b4f78,EMPTY,0,0,0,,,,No soi_rows extracted
344555fe-2b55-4512-9189-b8e4606ebbf0,EMPTY,0,0,0,,,,No soi_rows extracted
35644101-2ca9-4da4-82af-6c2764afa3f6,EMPTY,0,0,0,,,,No soi_rows extracted
36a147a2-5f30-4457-8396-9754c5d7140d,EMPTY,0,0,0,,,,No soi_rows extracted
37251907-b779-4ec3-96dd-89a0a1df1de3,EMPTY,0,0,0,,,,No soi_rows extracted
37304581-a07f-4b93-94ab-c57097105f9a,EMPTY,0,0,0,,,,No soi_rows extracted
3759b1f7-bb0c-4ba9-b27c-6f965c29392d,EMPTY,0,0,0,,,,No soi_rows extracted
3782ff6a-8d74-4bf1-9218-3d0ee633d93b,EMPTY,0,0,0,,,,No soi_rows extracted
37b8cf94-a001-42b6-b560-7c0b905228fe,EMPTY,0,0,0,,,,No soi_rows extracted
3863b7c1-8b97-45d2-b8f4-de2df66faee7,EMPTY,0,0,0,,,,No soi_rows extracted
388d1546-dcdb-47c7-9df6-34133caa9868,EMPTY,0,0,0,,,,No soi_rows extracted
38bae33d-ba0a-4821-b567-8cea06d327b2,EMPTY,0,0,0,,,,No soi_rows extracted
392d47c5-7ff1-4185-87ee-ab7641ad932f,EMPTY,0,0,0,,,,No soi_rows extracted
3931f0c5-fbac-4752-9071-897eccd3d9da,EMPTY,0,0,0,,,,No soi_rows extracted
39aa3a45-9052-4ac8-b981-17843ab10324,EMPTY,0,0,0,,,,No soi_rows extracted
39ac5e4d-c195-42a7-9670-229bc79f34e5,EMPTY,0,0,0,,,,No soi_rows extracted
3ad95615-d90b-499c-b4d8-15dbc9edf431,EMPTY,0,0,0,,,,No soi_rows extracted
3d43bad8-a9fa-406d-9e39-364a92daf3ff,EMPTY,0,0,0,,,,No soi_rows extracted
3d97a580-771d-4acd-a60e-2e29f786d175,EMPTY,0,0,0,,,,No soi_rows extracted
3df9f49c-a9ed-48bb-9522-1c7d11be53d1,EMPTY,0,0,0,,,,No soi_rows extracted
3e092859-edaf-44d9-ab43-320bb410972b,EMPTY,0,0,0,,,,No soi_rows extracted
3e8fd672-18f3-4eb0-9b78-7aad8da0d153,EMPTY,0,0,0,,,,No soi_rows extracted
3f231776-fb0f-4e1c-ae25-aa355b0712c0,EMPTY,0,0,0,,,,No soi_rows extracted
3f573b16-15d0-4b28-82c2-a199ede3b34d,EMPTY,0,0,0,,,,No soi_rows extracted
3fad02e7-3dfa-4725-8303-b02955ce895a,EMPTY,0,0,0,,,,No soi_rows extracted
41057af4-c230-479c-a3bf-ec9402d9a258,EMPTY,0,0,0,,,,No soi_rows extracted
413858b7-793c-4286-9694-0b954d00e3d8,EMPTY,0,0,0,,,,No soi_rows extracted
413c8943-a724-4ab5-ad6c-c1f152f07adb,EMPTY,0,0,0,,,,No soi_rows extracted
420bd0ad-b3d3-41ed-bdc0-4a089bb8f9bf,EMPTY,0,0,0,,,,No soi_rows extracted
42fd0b46-79da-45e8-abb3-959d98442819,EMPTY,0,0,0,,,,No soi_rows extracted
431df4d5-f370-4250-9138-f329ef94426a,EMPTY,0,0,0,,,,No soi_rows extracted
433edd4f-4bba-4687-8742-748aae7e0449,EMPTY,0,0,0,,,,No soi_rows extracted
43e2e8cd-21e5-46b0-b6f0-fd028701f666,EMPTY,0,0,0,,,,No soi_rows extracted
44576ed6-1ae3-4ac1-a478-968702331d00,EMPTY,0,0,0,,,,No soi_rows extracted
4489b438-0879-4010-b715-d70de4621798,EMPTY,0,0,0,,,,No soi_rows extracted
4590bcaf-af93-4ca2-96a1-b57cd4b8794e,EMPTY,0,0,0,,,,No soi_rows extracted
45a6d613-34fb-4260-82b7-b90b557a3bbc,EMPTY,0,0,0,,,,No soi_rows extracted
469abb90-d0e6-4f9c-b754-4f29d94541b0,EMPTY,0,0,0,,,,No soi_rows extracted
46efedec-4043-4f25-acdd-34cad323b04b,EMPTY,0,0,0,,,,No soi_rows extracted
476bf9a9-c988-4c52-8fc6-43b47ac942f0,EMPTY,0,0,0,,,,No soi_rows extracted
47fec911-97b2-4211-a9a6-a64d2f1cf8c3,EMPTY,0,0,0,,,,No soi_rows extracted
4805ab26-fde8-4053-99d5-0e8143e1c623,EMPTY,0,0,0,,,,No soi_rows extracted
488e756a-d59e-4304-b9ed-bf302cc83b83,EMPTY,0,0,0,,,,No soi_rows extracted
49f08e99-baac-465e-9caf-1c9f01eaa01d,EMPTY,0,0,0,,,,No soi_rows extracted
4ae378b8-73e4-4def-b6dd-ffee85108fc3,EMPTY,0,0,0,,,,No soi_rows extracted
4be77554-96ec-40a5-a8e4-9f8bcec7d54f,EMPTY,0,0,0,,,,No soi_rows extracted
4c21c0ae-aa96-42eb-a915-467431b562d7,EMPTY,0,0,0,,,,No soi_rows extracted
4c5deffd-b10f-4abf-81e9-deff1389bb07,EMPTY,0,0,0,,,,No soi_rows extracted
4c868796-034b-4aee-838b-e04d72899dc5,EMPTY,0,0,0,,,,No soi_rows extracted
4cf898bc-6403-410e-9084-9d9d63bf71b5,EMPTY,0,0,0,,,,No soi_rows extracted
4d6a3b17-8392-40f5-bb0f-e4e800227b41,EMPTY,0,0,0,,,,No soi_rows extracted
4d6f89a2-98a6-458f-976f-1e9c7e8381de,EMPTY,0,0,0,,,,No soi_rows extracted
4dc2b71b-ee9f-450e-954e-eb01e0383974,EMPTY,0,0,0,,,,No soi_rows extracted
4dc78e70-02d6-4711-b0dc-1559d9761e2a,EMPTY,0,0,0,,,,No soi_rows extracted
4e3f93eb-1756-46a6-a7ef-b4b8bfcf6651,EMPTY,0,0,0,,,,No soi_rows extracted
4e7cbefd-b597-416d-80ed-ac86b709c48d,EMPTY,0,0,0,,,,No soi_rows extracted
4ec318d5-53f5-45eb-84ff-380e19c64aee,EMPTY,0,0,0,,,,No soi_rows extracted
4efc77bf-502b-4c98-9b0a-8e9195d732d9,EMPTY,0,0,0,,,,No soi_rows extracted
4f9de899-d23f-48d7-94e4-84cd1a5fe40b,EMPTY,0,0,0,,,,No soi_rows extracted
4ff558e5-0040-4d5f-880a-79550952ef04,EMPTY,0,0,0,,,,No soi_rows extracted
5039d218-bc05-4d87-bc2a-5650062f8ff9,EMPTY,0,0,0,,,,No soi_rows extracted
50dcb7c0-d61e-4388-af02-84035d0ac18f,EMPTY,0,0,0,,,,No soi_rows extracted
50f0743c-4bde-4109-a2d7-210f1667daeb,EMPTY,0,0,0,,,,No soi_rows extracted
51012ab1-cad3-4244-ae5f-a7ed2ca9a0ec,EMPTY,0,0,0,,,,No soi_rows extracted
5146da24-8164-4126-8494-65bc25e7350f,EMPTY,0,0,0,,,,No soi_rows extracted
51817389-1d51-407b-a365-0be56bb5ceeb,EMPTY,0,0,0,,,,No soi_rows extracted
51a67619-cf02-4ec8-a4cb-f800c6e0b7c4,EMPTY,0,0,0,,,,No soi_rows extracted
51f3b26b-e57d-4829-a1aa-c38508a3c0fc,EMPTY,0,0,0,,,,No soi_rows extracted
5208e4fa-8918-4c19-9fb2-bcb71fa3b19c,EMPTY,0,0,0,,,,No soi_rows extracted
522c420d-c753-42b0-bdef-cc068f1ec65d,EMPTY,0,0,0,,,,No soi_rows extracted
52a009ea-bcc4-4111-a373-314a7c69ac37,EMPTY,0,0,0,,,,No soi_rows extracted
5318bfc4-ed82-4977-872e-1b395a5e91cc,EMPTY,0,0,0,,,,No soi_rows extracted
5349a354-323b-42d9-845f-07c77e0727d3,EMPTY,0,0,0,,,,No soi_rows extracted
53555bb8-c042-49b7-a4ca-019209a01c60,EMPTY,0,0,0,,,,No soi_rows extracted
5393c5c9-7803-40ae-979f-06a8f48dd798,EMPTY,0,0,0,,,,No soi_rows extracted
54743585-99bf-4257-a47b-816f8d986422,EMPTY,0,0,0,,,,No soi_rows extracted
54766225-fc7a-49e5-a504-dc70b2bef0bc,EMPTY,0,0,0,,,,No soi_rows extracted
565eccf0-d792-44e1-957b-9cd153138acd,EMPTY,0,0,0,,,,No soi_rows extracted
572dc018-9580-4b39-9581-d9887b7fe404,EMPTY,0,0,0,,,,No soi_rows extracted
575395f6-dee8-40e9-8f7a-f6d7cde95a08,EMPTY,0,0,0,,,,No soi_rows extracted
58db0b1b-e6ec-489f-ba1e-fe8afb87e963,EMPTY,0,0,0,,,,No soi_rows extracted
59b0f866-dcfd-4e0f-932e-e22e55e697da,EMPTY,0,0,0,,,,No soi_rows extracted
59c68506-1ac1-4b9c-9d1c-3f421a9b256b,EMPTY,0,0,0,,,,No soi_rows extracted
5a4b8d8e-67c8-4ffe-ad24-eb9d4fcaccbb,EMPTY,0,0,0,,,,No soi_rows extracted
5a87badb-a256-4703-86da-c585aeb498e1,EMPTY,0,0,0,,,,No soi_rows extracted
5d163abc-2fc3-4742-aeac-30af44f56322,EMPTY,0,0,0,,,,No soi_rows extracted
5e097b65-a088-48df-a0e9-d18636b8eb5c,EMPTY,0,0,0,,,,No soi_rows extracted
5e131027-f416-422b-9bd9-77d6dbb7542f,EMPTY,0,0,0,,,,No soi_rows extracted
5e36028a-920b-40d5-88cc-cd9ae74fac8a,EMPTY,0,0,0,,,,No soi_rows extracted
5ef3c481-e299-4d09-a717-1147471f206d,EMPTY,0,0,0,,,,No soi_rows extracted
5f48a758-aaa2-48c6-8962-5f4c1ac81877,EMPTY,0,0,0,,,,No soi_rows extracted
60934695-1b2f-48f6-bd07-602ad3f2d3bc,EMPTY,0,0,0,,,,No soi_rows extracted
61059762-3def-4684-aad8-a70103c9e267,EMPTY,0,0,0,,,,No soi_rows extracted
6159403e-dba0-48ab-87ed-32db1a05decd,EMPTY,0,0,0,,,,No soi_rows extracted
624e416b-28ab-4c0a-9e8e-dbba8aaef6c2,EMPTY,0,0,0,,,,No soi_rows extracted
6382d0c1-9adc-4de3-860c-9944148ac79f,EMPTY,0,0,0,,,,No soi_rows extracted
6382f4ab-c948-4853-a93a-185ef661e2e8,EMPTY,0,0,0,,,,No soi_rows extracted
63881890-fc71-42dc-a84a-a1dc26477594,EMPTY,0,0,0,,,,No soi_rows extracted
64035ecc-e92f-4346-95fc-15c01c66a4ac,EMPTY,0,0,0,,,,No soi_rows extracted
661d15c5-1c67-4965-bacb-d5b23e13920a,EMPTY,0,0,0,,,,No soi_rows extracted
683be78a-8326-4707-9fbc-daac2ced3a0c,EMPTY,0,0,0,,,,No soi_rows extracted
6936996a-5e44-44f2-bb6d-4fcfedac7153,EMPTY,0,0,0,,,,No soi_rows extracted
6a7d6a80-a1fd-4622-8ebb-a76c5c143722,EMPTY,0,0,0,,,,No soi_rows extracted
6d663bec-b9b3-4353-ba08-4edec582803a,EMPTY,0,0,0,,,,No soi_rows extracted
71bf27d8-9db2-4434-8c37-033236886c35,EMPTY,0,0,0,,,,No soi_rows extracted
72366b36-bf6a-4307-aab4-414497fa52bb,EMPTY,0,0,0,,,,No soi_rows extracted
74997392-deb1-494c-8066-ac3f1d33d2d8,EMPTY,0,0,0,,,,No soi_rows extracted
74d07783-de11-43b5-b7d5-c8c4d0dac464,EMPTY,0,0,0,,,,No soi_rows extracted
759d45ae-1585-40d7-9cf6-583fc8def8ca,EMPTY,0,0,0,,,,No soi_rows extracted
75f6571e-6f7f-4101-bcba-f6b2ae5c0b37,EMPTY,0,0,0,,,,No soi_rows extracted
760422c7-b8b8-4072-8169-eb3fb9dd5094,EMPTY,0,0,0,,,,No soi_rows extracted
76175986-cc6c-41e4-ba12-fa48c5748f53,EMPTY,0,0,0,,,,No soi_rows extracted
76a92985-d64a-419e-a041-78c8bfcd82cb,EMPTY,0,0,0,,,,No soi_rows extracted
76c0134f-05a6-4840-b747-a2acb0e93a36,EMPTY,0,0,0,,,,No soi_rows extracted
76c34d8b-69e4-478e-8337-231636d053df,EMPTY,0,0,0,,,,No soi_rows extracted
781a9da7-d31d-4c7e-9a07-a43db6464924,EMPTY,0,0,0,,,,No soi_rows extracted
78379007-830b-42fc-8541-5f1d0e1760f2,EMPTY,0,0,0,,,,No soi_rows extracted
7888ba11-510b-4d22-8713-c2b6b3657ae1,EMPTY,0,0,0,,,,No soi_rows extracted
79e52ad4-3a06-4b8b-895c-9003df82c441,EMPTY,0,0,0,,,,No soi_rows extracted
7a28eb79-20de-4b74-86e0-41c0e3d80efe,EMPTY,0,0,0,,,,No soi_rows extracted
7a8610ea-059e-4638-a38b-fb788f431b9d,EMPTY,0,0,0,,,,No soi_rows extracted
7adfd523-ca9e-4565-bf45-122203b44df4,EMPTY,0,0,0,,,,No soi_rows extracted
7b3429cb-87c8-4bec-b4e4-046d65b9a676,EMPTY,0,0,0,,,,No soi_rows extracted
7b45b7f6-90e1-467b-bff6-1ec1d2b1c577,EMPTY,0,0,0,,,,No soi_rows extracted
7b703b0b-12c2-4742-94a3-c44035e3f537,EMPTY,0,0,0,,,,No soi_rows extracted
7b88738d-2431-4d85-810b-45a9c3bfca4c,EMPTY,0,0,0,,,,No soi_rows extracted
7bd0d551-9186-440f-a5e0-192e44a586e2,EMPTY,0,0,0,,,,No soi_rows extracted
7c40f74a-06b2-41ff-9829-4d56ee3e3fa0,EMPTY,0,0,0,,,,No soi_rows extracted
7ca3d31e-bbda-434d-9f82-c4dcf2d6a30e,EMPTY,0,0,0,,,,No soi_rows extracted
7d2175b4-0d1a-4ba9-9dfc-fe36e32f434a,EMPTY,0,0,0,,,,No soi_rows extracted
7d8effff-817f-4c85-bb24-26bc12c82f51,EMPTY,0,0,0,,,,No soi_rows extracted
7fec7d6d-c9ad-4256-a26f-56ab47b5e4ba,EMPTY,0,0,0,,,,No soi_rows extracted
80435ff8-2a17-4205-8b34-d66adaae3f46,EMPTY,0,0,0,,,,No soi_rows extracted
80681d03-1e63-4b92-ac4e-ff1852c95868,EMPTY,0,0,0,,,,No soi_rows extracted
80c9dd39-332c-4407-a01a-9747737975c7,EMPTY,0,0,0,,,,No soi_rows extracted
81782cb3-a80f-489c-a302-800be3cf1700,EMPTY,0,0,0,,,,No soi_rows extracted
81f8f6fe-7e09-462c-8a98-e5fd4d23de73,EMPTY,0,0,0,,,,No soi_rows extracted
82042c25-f7ee-4b35-a6b1-041081976a4f,EMPTY,0,0,0,,,,No soi_rows extracted
8305a106-f12e-44f7-8448-b53cec954697,EMPTY,0,0,0,,,,No soi_rows extracted
83463460-5b73-4a3f-8e4f-0df5bfce76bd,EMPTY,0,0,0,,,,No soi_rows extracted
843d139a-4c27-4f3a-8baa-c19402ebc4e3,EMPTY,0,0,0,,,,No soi_rows extracted
84825226-11b2-4679-8283-1b2af4b86d60,EMPTY,0,0,0,,,,No soi_rows extracted
859c1eb0-cb5f-488b-8ede-bd0f5490b4dc,EMPTY,0,0,0,,,,No soi_rows extracted
86bffde0-2c8d-4713-bd37-b07ff9fa776c,EMPTY,0,0,0,,,,No soi_rows extracted
86c03e85-3526-4fbc-8695-24a89c74cd40,EMPTY,0,0,0,,,,No soi_rows extracted
872e5985-ce8b-43fb-9359-ed156c9cddde,EMPTY,0,0,0,,,,No soi_rows extracted
87c262da-2c57-49c5-8507-d2b0e38ea381,EMPTY,0,0,0,,,,No soi_rows extracted
887e534d-c3b7-4231-83f5-346b1d23d880,EMPTY,0,0,0,,,,No soi_rows extracted
88bf08b0-154b-4cb6-839b-00d2d56f73a3,EMPTY,0,0,0,,,,No soi_rows extracted
88fbcbe4-8419-4c9b-a3d5-29ca542c917f,EMPTY,0,0,0,,,,No soi_rows extracted
89cf7a5f-078e-4591-bf5a-cc61ddf24024,EMPTY,0,0,0,,,,No soi_rows extracted
89f6a173-b676-4881-ba33-237af2610465,EMPTY,0,0,0,,,,No soi_rows extracted
8a293b8c-4e46-4290-a774-0d78ccb26202,EMPTY,0,0,0,,,,No soi_rows extracted
8a4999ba-968f-43d9-b062-754b39b36b6a,EMPTY,0,0,0,,,,No soi_rows extracted
8a4e7b59-4ebf-4534-8cf5-749667af681f,EMPTY,0,0,0,,,,No soi_rows extracted
8acf8256-f013-4229-9f63-0793eb89a6a8,EMPTY,0,0,0,,,,No soi_rows extracted
8adbd49d-5f1f-402e-a199-0a7f8397d461,EMPTY,0,0,0,,,,No soi_rows extracted
8b50e4ec-0aa3-4441-b56a-84b003e0a3c9,EMPTY,0,0,0,,,,No soi_rows extracted
8b62c1fd-cbba-422a-8170-5884979e2583,EMPTY,0,0,0,,,,No soi_rows extracted
8b9c41d8-fe44-4db6-9a7b-011642702889,EMPTY,0,0,0,,,,No soi_rows extracted
8c03e142-1463-4624-ba54-d0996f07625e,EMPTY,0,0,0,,,,No soi_rows extracted
8c7484c6-1c1b-422a-8e96-bb0c0595731d,EMPTY,0,0,0,,,,No soi_rows extracted
8cc08ff7-3db7-457d-8da5-79df6a19701a,EMPTY,0,0,0,,,,No soi_rows extracted
8d777b7a-afa0-425a-87c0-c792aa626ff6,EMPTY,0,0,0,,,,No soi_rows extracted
8e2c9b3a-6994-4279-a9df-ee42cac09a51,EMPTY,0,0,0,,,,No soi_rows extracted
8ea720fb-2eab-426d-abde-6aa67a012b06,EMPTY,0,0,0,,,,No soi_rows extracted
8f21c166-8879-40b8-80f4-4f96288d8dff,EMPTY,0,0,0,,,,No soi_rows extracted
8fff16c0-3e37-4b74-be08-4c826381856e,EMPTY,0,0,0,,,,No soi_rows extracted
90078f08-202e-4f78-a663-f6951b42c014,EMPTY,0,0,0,,,,No soi_rows extracted
91103b5c-6a97-4ed4-8157-59e68b37c1b1,EMPTY,0,0,0,,,,No soi_rows extracted
91c6d03a-c146-4e73-ae4b-274d949817e0,EMPTY,0,0,0,,,,No soi_rows extracted
91f851ef-ab91-4267-8df6-fc7c23674de9,EMPTY,0,0,0,,,,No soi_rows extracted
923c717f-c1d5-4b24-950e-930e9299d4bb,EMPTY,0,0,0,,,,No soi_rows extracted
927641d1-75ec-47b5-9fa9-820e0f11a051,EMPTY,0,0,0,,,,No soi_rows extracted
92bb0346-ca73-41ee-b852-434d7c5ce9b4,EMPTY,0,0,0,,,,No soi_rows extracted
943443b8-4e8b-43f7-bcb5-425d50d3e651,EMPTY,0,0,0,,,,No soi_rows extracted
9510edc5-e25f-4292-b003-3b037ad66049,EMPTY,0,0,0,,,,No soi_rows extracted
95543818-8510-436b-9c07-e58c9f83b970,EMPTY,0,0,0,,,,No soi_rows extracted
96d23c78-4aba-498e-823c-ecb01cb8d53b,EMPTY,0,0,0,,,,No soi_rows extracted
96dc9670-689f-4e91-a36e-0bd8621b6969,EMPTY,0,0,0,,,,No soi_rows extracted
96ec2dde-7da7-4a7b-a169-c8588ad23c79,EMPTY,0,0,0,,,,No soi_rows extracted
9915518f-86b9-4d05-a43c-0e8d906ed428,EMPTY,0,0,0,,,,No soi_rows extracted
99838ea3-6d96-4e73-963f-4d7102c35cec,EMPTY,0,0,0,,,,No soi_rows extracted
99c42a27-ae0b-463c-95e3-d5f31b08b5cb,EMPTY,0,0,0,,,,No soi_rows extracted
99f2f055-9e3b-46f9-acd0-7dd6c6cc27b3,EMPTY,0,0,0,,,,No soi_rows extracted
9a64b2ca-df9f-46fc-af05-88b5f42667f3,EMPTY,0,0,0,,,,No soi_rows extracted
9dc6600d-6948-42e2-89cc-ab07f54e52c9,EMPTY,0,0,0,,,,No soi_rows extracted
9e45b4ad-65e0-4f78-b5e8-36091b18ef01,EMPTY,0,0,0,,,,No soi_rows extracted
9eb15316-2851-4049-b7e2-b3c609c5a4c7,EMPTY,0,0,0,,,,No soi_rows extracted
9f22bcf8-d307-4e78-851d-4c0e3fb883b2,EMPTY,0,0,0,,,,No soi_rows extracted
9f7f27d2-d9cd-4fc3-b96e-1ab133e5d216,EMPTY,0,0,0,,,,No soi_rows extracted
a024b34a-3583-4df0-a348-900251f29747,EMPTY,0,0,0,,,,No soi_rows extracted
a029e437-71c9-4506-a555-a78012d18359,EMPTY,0,0,0,,,,No soi_rows extracted
a04e8a59-17a5-4ee7-83be-7c4859f697ae,EMPTY,0,0,0,,,,No soi_rows extracted
a052d9a1-546a-469d-ace4-5ce0910eef78,EMPTY,0,0,0,,,,No soi_rows extracted
a0ed590b-47b4-405e-aed3-467504593a58,EMPTY,0,0,0,,,,No soi_rows extracted
a10bbb8b-ac78-4e18-bb61-e481a7d2daf1,EMPTY,0,0,0,,,,No soi_rows extracted
a2dbce09-002c-40a5-b3a7-c77fc3dc2bc6,EMPTY,0,0,0,,,,No soi_rows extracted
a2f2056f-55a9-49e1-960b-3798a8643ff9,EMPTY,0,0,0,,,,No soi_rows extracted
a335ebb1-8b4f-4fa2-baee-cf80b5b9ada6,EMPTY,0,0,0,,,,No soi_rows extracted
a3c78e87-6dd7-4c63-a002-d9ac7467507e,EMPTY,0,0,0,,,,No soi_rows extracted
a3e554a0-cf82-436a-a990-72d0daa42e67,EMPTY,0,0,0,,,,No soi_rows extracted
a4503981-ee22-4ab3-bae2-0c09031790b0,EMPTY,0,0,0,,,,No soi_rows extracted
a5565a16-bf69-477a-85c9-486e92d0d6da,EMPTY,0,0,0,,,,No soi_rows extracted
a6881979-e0b7-4344-9154-adebee0becda,EMPTY,0,0,0,,,,No soi_rows extracted
a68dd702-1c9d-4041-ad8b-2ee552961f99,EMPTY,0,0,0,,,,No soi_rows extracted
a7160672-5b6e-44af-855e-2c6dd50d4fd3,EMPTY,0,0,0,,,,No soi_rows extracted
a852654a-788d-466c-ad4b-39c8e6568d35,EMPTY,0,0,0,,,,No soi_rows extracted
a8711346-c941-4dcc-82d6-13cb084b576b,EMPTY,0,0,0,,,,No soi_rows extracted
a8c02c90-747d-467f-89f4-aaee6dfe0e5e,EMPTY,0,0,0,,,,No soi_rows extracted
a998c837-7101-40b6-8fa2-078c514f44ef,EMPTY,0,0,0,,,,No soi_rows extracted
aa68b765-2b9e-4e0f-a377-9742363b1928,EMPTY,0,0,0,,,,No soi_rows extracted
aaaa879e-1f3c-4c06-90e3-e4ebc6cb16df,EMPTY,0,0,0,,,,No soi_rows extracted
aae13e31-a938-4335-8f11-84070cde0c6d,EMPTY,0,0,0,,,,No soi_rows extracted
ac5bebf6-407f-4c11-a5f7-b067caa2c04c,EMPTY,0,0,0,,,,No soi_rows extracted
ad50d71d-15c2-497a-9e7c-83f04f81adf9,EMPTY,0,0,0,,,,No soi_rows extracted
ae36e473-5c17-4520-b673-47b11b11a91d,EMPTY,0,0,0,,,,No soi_rows extracted
ae98b8b9-d56e-442d-9435-ce4b8efd808f,EMPTY,0,0,0,,,,No soi_rows extracted
aed0caef-fbc5-4e3c-80db-5189d52066ca,EMPTY,0,0,0,,,,No soi_rows extracted
afb2eb76-bffc-4f28-8298-51fdaf340c39,EMPTY,0,0,0,,,,No soi_rows extracted
afcb56fa-6ca1-41c3-93ab-377a3ccffa59,EMPTY,0,0,0,,,,No soi_rows extracted
b0fe598c-0197-467e-94de-5d626388e2fd,EMPTY,0,0,0,,,,No soi_rows extracted
b16e94de-5efe-4584-a77b-ec2f81b6989b,EMPTY,0,0,0,,,,No soi_rows extracted
b2f32e13-a126-4397-8f09-edda7a38814a,EMPTY,0,0,0,,,,No soi_rows extracted
b3723e6b-31c3-450b-9178-f603856ad4b4,EMPTY,0,0,0,,,,No soi_rows extracted
b42c79af-b583-4405-a319-db2656fcf9f6,EMPTY,0,0,0,,,,No soi_rows extracted
