file,status,quality_score,holdings,subtotals,fv_coverage,name_coverage,section_coverage,issues
82ef01ff-5901-49f0-8515-5dadff88a8a5,OK,80,77,52,0%,100%,100%,Only 0% of holdings have fair_value
8b55a477-5492-4f73-89ff-2c9573762ee1,OK,80,270,51,0%,100%,100%,Only 0% of holdings have fair_value
8b755848-73ad-4bc5-a64e-c65adfce5f8d,OK,80,94,37,0%,100%,100%,Only 0% of holdings have fair_value
98cbaac6-5836-4189-80f5-71b9a487dc3e,OK,80,62,21,0%,100%,100%,Only 0% of holdings have fair_value
99ecd4a3-fa30-4608-8ead-9696c15d68e7,OK,80,47,6,0%,100%,100%,Only 0% of holdings have fair_value
a1701b87-be89-42cc-875c-5620df13e713,OK,80,91,42,0%,100%,100%,Only 0% of holdings have fair_value
a2ef2a7e-e1d1-494c-8f9b-397b6ca03720,OK,80,37,10,0%,100%,100%,Only 0% of holdings have fair_value
a838afa0-97ed-49bf-915a-1abdb792093b,OK,80,51,13,0%,100%,100%,Only 0% of holdings have fair_value
aeres-2024-03-31,OK,80,157,7,0%,100%,100%,Only 0% of holdings have fair_value
babc0bcd-3b91-44ed-ba3f-50d051358713,OK,80,305,42,0%,100%,100%,Only 0% of holdings have fair_value
bc5bdff0-7741-4987-9566-44ddc1ddd9de,OK,80,33,44,0%,100%,100%,Only 0% of holdings have fair_value
bddcf9d1-8920-48ab-b101-3ef4358dd53d,OK,80,36,6,0%,100%,100%,Only 0% of holdings have fair_value
c0927340-6d61-489f-ae21-61bf710f2f38,OK,80,49,7,0%,100%,100%,Only 0% of holdings have fair_value
c7b19f3f-2f40-40aa-8e8f-03916176725a,OK,80,69,16,0%,100%,100%,Only 0% of holdings have fair_value
c8390d33-b600-4fc6-a653-e88b6bd59927,OK,80,58,8,0%,100%,100%,Only 0% of holdings have fair_value
carlyle-2025-03-31,OK,80,267,56,0%,100%,100%,Only 0% of holdings have fair_value
d1447a97-f175-48ed-968e-e7d3c3df31fb,OK,80,85,53,0%,100%,94%,Only 0% of holdings have fair_value
d14ff58e-ebf2-4643-bc75-5a0708585325,OK,80,90,18,0%,100%,100%,Only 0% of holdings have fair_value
d57072ad-3d8f-4173-98e9-c90689fc0641,OK,80,52,6,0%,100%,100%,Only 0% of holdings have fair_value
dfb3626c-0d0c-44f1-a78d-7284cd7713ff,OK,80,118,29,0%,100%,100%,Only 0% of holdings have fair_value
ed79348f-5331-4ace-be06-d7a78328943f,OK,80,35,27,0%,100%,100%,Only 0% of holdings have fair_value
f2f1d3d6-950c-477d-a7d0-e09c27b6779a,OK,80,37,10,0%,100%,100%,Only 0% of holdings have fair_value
f7acd1ec-7492-43bf-8a00-6f96be62a1bf,OK,80,115,44,0%,100%,100%,Only 0% of holdings have fair_value
f7f7ccaf-4779-4089-9761-d62f9a2308c6,OK,80,65,23,0%,100%,100%,Only 0% of holdings have fair_value
hamilton-lane-2021-09-30,OK,80,45,34,0%,100%,100%,Only 0% of holdings have fair_value
massmutual-2022-03-31,OK,80,40,4,0%,100%,100%,Only 0% of holdings have fair_value
ponoma-2016-09-30,OK,80,30,5,0%,100%,100%,Only 0% of holdings have fair_value
stepstone-2024-09-30,OK,80,299,29,0%,100%,100%,Only 0% of holdings have fair_value
0000828803-06-000009,OK,70,2,0,0%,100%,0%,Only 0% of holdings have fair_value; Only 0% have section categorization
2aca6650-48ca-4bb4-9662-d9bc71c1f470,OK,70,2,0,0%,100%,0%,Only 0% of holdings have fair_value; Only 0% have section categorization
0000002230-05-000033,POOR,25,0,10,0%,0%,0%,No HOLDING rows found; Only 0% of holdings have fair_value; Only 0% of holdings have investment names; Only 0% have section categorization
0000002230-07-000062,POOR,25,0,10,0%,0%,0%,No HOLDING rows found; Only 0% of holdings have fair_value; Only 0% of holdings have investment names; Only 0% have section categorization
0000276776-12-000020,POOR,25,0,0,0%,0%,0%,No HOLDING rows found; Only 0% of holdings have fair_value; Only 0% of holdings have investment names; Only 0% have section categorization
0000828803-10-000008,POOR,25,0,0,0%,0%,0%,No HOLDING rows found; Only 0% of holdings have fair_value; Only 0% of holdings have investment names; Only 0% have section categorization
0000866095-03-000012,POOR,25,0,1,0%,0%,0%,No HOLDING rows found; Only 0% of holdings have fair_value; Only 0% of holdings have investment names; Only 0% have section categorization
0000866095-04-000007,POOR,25,0,1,0%,0%,0%,No HOLDING rows found; Only 0% of holdings have fair_value; Only 0% of holdings have investment names; Only 0% have section categorization
0000891804-09-000813,POOR,25,0,2,0%,0%,0%,No HOLDING rows found; Only 0% of holdings have fair_value; Only 0% of holdings have investment names; Only 0% have section categorization
0000891804-10-003548,POOR,25,0,1,0%,0%,0%,No HOLDING rows found; Only 0% of holdings have fair_value; Only 0% of holdings have investment names; Only 0% have section categorization
0000891804-10-003553,POOR,25,0,5,0%,0%,0%,No HOLDING rows found; Only 0% of holdings have fair_value; Only 0% of holdings have investment names; Only 0% have section categorization
1fae636e-c4fb-40b2-ade6-c0f383947375,POOR,25,0,10,0%,0%,0%,No HOLDING rows found; Only 0% of holdings have fair_value; Only 0% of holdings have investment names; Only 0% have section categorization
57e9c0d7-2abc-40d3-ab3c-c8fcf71dfb9e,POOR,25,0,2,0%,0%,0%,No HOLDING rows found; Only 0% of holdings have fair_value; Only 0% of holdings have investment names; Only 0% have section categorization
73ac5233-8db9-4594-818e-df6aaca2d53c,POOR,25,0,1,0%,0%,0%,No HOLDING rows found; Only 0% of holdings have fair_value; Only 0% of holdings have investment names; Only 0% have section categorization
7716399b-b135-48e1-b9ef-ddebc0d1d678,POOR,25,0,0,0%,0%,0%,No HOLDING rows found; Only 0% of holdings have fair_value; Only 0% of holdings have investment names; Only 0% have section categorization
7afad3d1-e4c0-4518-bbbb-f286de4427bd,POOR,25,0,10,0%,0%,0%,No HOLDING rows found; Only 0% of holdings have fair_value; Only 0% of holdings have investment names; Only 0% have section categorization
85db9a81-2270-4d54-a7a9-83f61914b179,POOR,25,0,1,0%,0%,0%,No HOLDING rows found; Only 0% of holdings have fair_value; Only 0% of holdings have investment names; Only 0% have section categorization
cccbc598-8c4d-409e-8e37-9f858ef272fd,POOR,25,0,1,0%,0%,0%,No HOLDING rows found; Only 0% of holdings have fair_value; Only 0% of holdings have investment names; Only 0% have section categorization
d63421ab-6137-4719-bf1e-15b6e8037c30,POOR,25,0,0,0%,0%,0%,No HOLDING rows found; Only 0% of holdings have fair_value; Only 0% of holdings have investment names; Only 0% have section categorization
f6949ed7-cdd3-42f8-9144-b5bd657eea1e,POOR,25,0,5,0%,0%,0%,No HOLDING rows found; Only 0% of holdings have fair_value; Only 0% of holdings have investment names; Only 0% have section categorization
0000002230-04-000031,EMPTY,0,0,0,,,,No soi_rows extracted
0000002230-05-000014,EMPTY,0,0,0,,,,No soi_rows extracted
0000002230-06-000011,EMPTY,0,0,0,,,,No soi_rows extracted
0000002230-07-000025,EMPTY,0,0,0,,,,No soi_rows extracted
0000002230-08-000027,EMPTY,0,0,0,,,,No soi_rows extracted
0000002230-09-000035,EMPTY,0,0,0,,,,No soi_rows extracted
0000009521-03-000006,EMPTY,0,0,0,,,,No soi_rows extracted
0000009521-03-000025,EMPTY,0,0,0,,,,No soi_rows extracted
0000009521-04-000011,EMPTY,0,0,0,,,,No soi_rows extracted
0000009521-04-000022,EMPTY,0,0,0,,,,No soi_rows extracted
0000009521-05-000006,EMPTY,0,0,0,,,,No soi_rows extracted
0000009521-05-000013,EMPTY,0,0,0,,,,No soi_rows extracted
0000009521-06-000013,EMPTY,0,0,0,,,,No soi_rows extracted
0000009521-06-000021,EMPTY,0,0,0,,,,No soi_rows extracted
0000009521-07-000011,EMPTY,0,0,0,,,,No soi_rows extracted
0000009521-07-000020,EMPTY,0,0,0,,,,No soi_rows extracted
0000009521-08-000012,EMPTY,0,0,0,,,,No soi_rows extracted
0000078713-08-000045,EMPTY,0,0,0,,,,No soi_rows extracted
0000078713-10-000003,EMPTY,0,0,0,,,,No soi_rows extracted
0000078713-10-000076,EMPTY,0,0,0,,,,No soi_rows extracted
0000078713-11-000003,EMPTY,0,0,0,,,,No soi_rows extracted
0000078713-11-000073,EMPTY,0,0,0,,,,No soi_rows extracted
0000078713-12-000001,EMPTY,0,0,0,,,,No soi_rows extracted
0000078713-13-000015,EMPTY,0,0,0,,,,No soi_rows extracted
0000078713-13-000099,EMPTY,0,0,0,,,,No soi_rows extracted
0000216851-03-000005,EMPTY,0,0,0,,,,No soi_rows extracted
0000216851-04-000013,EMPTY,0,0,0,,,,No soi_rows extracted
0000216851-05-000016,EMPTY,0,0,0,,,,No soi_rows extracted
0000216851-05-000037,EMPTY,0,0,0,,,,No soi_rows extracted
0000216851-07-000016,EMPTY,0,0,0,,,,No soi_rows extracted
0000216851-07-000037,EMPTY,0,0,0,,,,No soi_rows extracted
0000216851-08-000018,EMPTY,0,0,0,,,,No soi_rows extracted
0000216851-09-000014,EMPTY,0,0,0,,,,No soi_rows extracted
0000276300-04-000018,EMPTY,0,0,0,,,,No soi_rows extracted
0000276300-04-000023,EMPTY,0,0,0,,,,No soi_rows extracted
0000276776-07-000007,EMPTY,0,0,0,,,,No soi_rows extracted
0000276776-15-000006,EMPTY,0,0,0,,,,No soi_rows extracted
0000276776-17-000048,EMPTY,0,0,0,,,,No soi_rows extracted
0000351786-03-000005,EMPTY,0,0,0,,,,No soi_rows extracted
0000818972-03-000008,EMPTY,0,0,0,,,,No soi_rows extracted
0000828803-03-000015,EMPTY,0,0,0,,,,No soi_rows extracted
0000828803-04-000008,EMPTY,0,0,0,,,,No soi_rows extracted
0000828803-04-000019,EMPTY,0,0,0,,,,No soi_rows extracted
0000828803-05-000008,EMPTY,0,0,0,,,,No soi_rows extracted
0000828803-05-000017,EMPTY,0,0,0,,,,No soi_rows extracted
0000828803-06-000017,EMPTY,0,0,0,,,,No soi_rows extracted
0000828803-07-000009,EMPTY,0,0,0,,,,No soi_rows extracted
0000828803-07-000016,EMPTY,0,0,0,,,,No soi_rows extracted
0000828803-08-000010,EMPTY,0,0,0,,,,No soi_rows extracted
0000828803-08-000016,EMPTY,0,0,0,,,,No soi_rows extracted
0000828803-09-000011,EMPTY,0,0,0,,,,No soi_rows extracted
0000828803-09-000018,EMPTY,0,0,0,,,,No soi_rows extracted
0000839122-03-000005,EMPTY,0,0,0,,,,No soi_rows extracted
0000855886-03-000002,EMPTY,0,0,0,,,,No soi_rows extracted
0000855886-04-000001,EMPTY,0,0,0,,,,No soi_rows extracted
0000855887-04-000003,EMPTY,0,0,0,,,,No soi_rows extracted
