investment,fair_value
"SkyKnight Financial Holdings, L.P.","$7,780,149"
"SkyKnight Insurance Holdings, L.P.",$2
"STG AV, L.P.","$5,000,000"
"Trivest Bright Co-Invest, L.P.","$5,207,917"
"Truclink Voltron A, L.P.","$5,000,000"
CCC Aggregator L.P.,"$4,169,446"
"Webster Cascade Aggregator II, L.P.","$538,137"
"Webster Oceans Co-Investment Fund, L.P.","$6,303,350"
"WPP Fairway Aggregator B, L.P.","$365,600"
Habit Health,"$4,784,803"
"KKR Sirius Co-Invest, L.P.","$10,360,683"
Mason Stevens Co Investment Trust,"$4,748,471"
"Webster Cascade Aggregator, L.P.","$3,849,970"
"ECI 12 E, L.P","$9,886,997"
HPM Sub-Pooling S.à r.l.,"$5,021,914"
Indigo Acquisition Holding B.V.,"$9,252,815"
"SEP EIGER Aggregator, L.P.","$2,134,620"
"AHR Parent Holdings, L.P.","$9,786,694"
"Corsair Amore Investors, L.P.","$483,597"
"GPS Co-Invest (IGI III)-A Feeder, L.P.","$17,448,289"
"LJ Shield Co-Invest, L.P.","$12,387,803"
"RCT RCR Equity, L.P.","$5,959,572"
"SCP FCA Investments, LLC","$12,149,378"
"VFF IV Co-Invest 4-C, L.P.","$15,786,536"
"WPP Fairway Aggregator B, L.P.","$9,287,548"
ECI 12 E. L.P,"$3,018,947"
"GPS Co-Invest (IGI III)-A Feeder, L.P.","$4,575,733"
Advent International GPE X-D SCSp,"$3,113,433"
PSG Europe (Lux) II S.C.Sp.,"$1,710,376"
"TowerBrook Investors VI (892), L.P.","$3,700,109"
"BharCap Partners II-B, L.P.","$12,083,155"
"CenterOak Equity Fund III-EF, L.P.","$-305,821"
"Francisco Partners VII-A, L.P.","$1,579,093"
"Lee Equity Partners Fund IV(A), L.P.","$2,329,265"
"Nautic Partners XI, L.P.","$-68,956"
"OceanSound Partners Fund II (A), L.P.","$8,167,208"
"One Equity Partners VIII-A, L.P","$12,565,621"
Sole Sole Source S Capital III,
"Trivest Growth Investment Fund III-A, L.P.","$-18,407"
"Truelink Capital I-A, L.P.","$14,740,157"
Valeas Capital Partners Fund I-A L.P.,"$41,853,115"
"Webster Capital V, L.P.","$8,943,560"
Advent Global Technology,"$2,564,243"
Advent Global Technology II,"$3,295,804"
Advent International GPE IX,"$12,396,063"
Advent International GPE IX (EUR),$1
Advent International GPE VIII,"$3,157,574"
Advent International GPE X,"$3,520,006,352,886"
Barley (No.1) Limited Partnership,"$2,100,634"
Barley Institutional Co-Invest Limited Partnership,"$305,900"
Bridgepoint Europe VI,"$1,375,244"
Bridgepoint Europe VII,"$222,683"
CVC Capital Partners Strategic Opportunities II,"$1,145,786"
CVC Capital Partners VI,"$309,859"
CVC Capital Partners VII,"$459,181"
CVC Capital Partners VIII,"$642,127"
CVC Capital Partners VIII (A) L.P.,"$37,781,439"
DPE Continuation Fund I geschlossene Spezial-Investment GmbH & Co. KG,"$15,616,841"
Elysium Acquisition L.P,"$36,417,613"
Equistone SPI SCSp,$6
"Gamma Co-invest, L.P","$4,196,260"
IK SC Strategic Opportunities I Fund,"$16,867,437"
TowerBrook Investors V,"$49,903,343"
"Apollo Overseas Partners (Delaware 892) IX, L.P.","$7,010,803"
"Apollo Overseas Partners (Delaware 892) X, L.P.","$184,758"
Audax Private Equity Fund VI,"$786,370"
"Bain Capital Beacon Holdings, L.P.","$87,316,215"
"CB Offshore CF I, Limited Partnership","$105,953,236"
CF24XB SCSp,"$55,359,152"
"Clayton, Dubilier & Rice Fund XI, L.P.","$25,649,861"
Excellere Partners III,"$9,793,643"
Excellere Partners IV,"$10,804,756"
Frontier Opportunity Fund A,"$253,120"
"GA Continuity Fund II, L.P.","$95,723,752"
GA Continuity I (AM) Fund,"$226,175"
GA Continuity I (HG) Fund,"$374,472"
GA Continuity I (SNF) Fund,"$178,133"
"Green Equity Investors Side CF III - C, L.P.","$10,356,651"
"Green Equity Investors VIII, L.P.","$21,568,445"
Hellman & Friedman Capital Partners IX,"$1,095,566"
Hellman & Friedman Capital Partners X,"$469,404"
"Investcorp North American Private Equity Parallel Fund I, L.P.","$4,605,218"
"Investcorp North American Private Equity Realization Fund 2022, L.P.","$12,112,223"
Kinderhook GME Equity,"$406,440"
"Kinderhook PMQ Reinvestment Fund V-A, L.P.","$7,011,822"
"Kinderhook Reinvestment Fund IV2, L.P.","$9,793,481"
Lindsay Goldberg VL.P.,"$15,995,216"
"Littlejohn Fund V, L.P.","$1,546,825,340,023"
Littlejohn Fund VI,$3
Littlejohn Fund IVI VI,$957
"Littlejohn Fund VI-A, L.P.","$3,839,266"
"Madison Dearborn Capital Partners VIII, L.P.","$44,276,601"
"Manulife PE Partners II Cayman, L.P.","$96,884,189"
"New Mountain Partners VI, L.P.","$26,319,068"
"Norwest Equity Partners IX, L.P.","$6,068,486"
"Norwest Equity Partners X, L.P.",$12
"Norwest Equity Partners XI, L.P.","$2,514,575"
Odyssey Investment Partners Fund V,"$672,185"
Odyssey Investment Partners Fund VI,"$2,088,800"
"OEP Neptune Fund I, SCSP","$13,005,416"
One Equity Partners VI,"$150,925"
One Equity Partners VII,"$481,923"
One Equity Partners VIII,"$799,785"
Quad-C Partners IX. L.P,"$1,612,034"
"Quad-C Partners X, L.P.","$1,706,347"
Roark Capital Partners CF L.P.,"$7,633,092"
"Sentinel MCA AV, L.P.","$2,719,234"
TA Associates XIII,"$428,386"
TA Associates XIV,"$350,439"
"The Resolute III Continuation Fund, L.P.","$96,403,307"
"Thoma Bravo Fund XV, L.P.","$26,024,876"
"Thoma Bravo Oasis Fund A, L.P.","$6,242,762"
"TPG Healthcare Partners II, L.P.","$117,092,117,092"
"TPG Partners IX, L.P.","$629,521"
TPG IPG Partners Partners VII. L.P.,"$1,014,012"
"TPG Partners VIII, L.P.","$9,318,978"
Wind Point Partners IX,"$654,726"
Wind Point Partners VIII,"$131,615"
"Wind Point Partners X-B, L.P.","$237,972"
Affinity Asia Pacific Pacific Fund Fund V,$582
Ping An Global Equity Selection Fund III,"$12,044,960"
"TPG Asia VII (B), L.P.","$5,738,892"
"TPG Asia VIII (B), L.P","$1,091,562"
UMB Money Market II Special (4.19%),"$216,967,510"
